Path difference [nm]	Intensity [a.u.]
-3648	50.22
-3600	53.4967
-3552	54.77
-3504	54.8633
-3456	54.06
-3408	49.12
-3360	46.8267
-3312	43.3767
-3264	40.6867
-3216	38.11
-3168	40.2367
-3120	40.7633
-3072	44.1067
-3024	47.65
-2976	49.11
-2928	53.5867
-2880	54.9333
-2832	54.85
-2784	53.21
-2736	49.4167
-2688	46.3767
-2640	41.2633
-2592	41.0333
-2544	37.7933
-2496	37.79
-2448	40.3333
-2400	41.4967
-2352	46.58
-2304	50.1333
-2256	54.39
-2208	55.5067
-2160	55.18
-2112	53.1367
-2064	49.5033
-2016	47.7767
-1968	45.1033
-1920	41.0867
-1872	38.6833
-1824	39.26
-1776	39.7633
-1728	44.7033
-1680	48.5067
-1632	51.7967
-1584	53.69
-1536	56.33
-1488	54.2433
-1440	52.64
-1392	48.73
-1344	45.4533
-1296	42.72
-1248	38.4667
-1200	38.6067
-1152	39.6633
-1104	44.0667
-1056	42.84
-1008	48.1967
-960	52.2267
-912	53.9267
-864	56.0067
-816	54.9567
-768	51.6633
-720	47.06
-672	43.1233
-624	40.7533
-576	37.2767
-528	36.9133
-480	36.2267
-432	40.5667
-384	45.1733
-336	52.7567
-288	54.4533
-240	55.1267
-192	53.9933
-144	52.6567
-96	49.7
-48	47.6667
0	39.3133
48	39.84
96	37.6467
144	38.3767
192	41.5733
240	46.0467
288	50.4967
336	50.85
384	53.66
432	54.9667
480	53.1267
528	51.97
576	48.3
624	41.27
672	39.5467
720	38.1833
768	37.3267
816	40.5433
864	41.8233
912	47.0433
960	52.43
1008	55.5733
1056	55.9067
1104	56.0067
1152	53.5367
1200	48.2833
1248	43.2033
1296	41.42
1344	38.9967
1392	35.0033
1440	36.1133
1488	40.54
1536	43.0433
1584	48.55
1632	52.28
1680	55.4767
1728	57.12
1776	54.7267
1824	53.8
1872	50.8967
1920	45.1767
1968	39.8567
2016	38.2467
2064	37.9867
2112	38.98
2160	42.0133
2208	46.4367
2256	47.5267
2304	52.6733
2352	55.2367
2400	57.6
2448	54.2333
2496	49.6933
2544	44.73
2592	40.0233
2640	39.04
2688	36.5
2736	39.3167
2784	38.0733
2832	42.35
2880	46.8633
2928	53.7033
2976	56.69
3024	56.71
3072	56.0033
3120	50.28
3168	46.8
3216	43.1967
3264	41.7467
3312	37.6233
3360	35.3933
3408	37.0567
3456	43.7933
3504	49.0267
3552	50.69
3600	55.91
3648	55.9633
3696	56.7233
3744	56.92
3792	54.9233
3840	48.0533
3888	40.4633
3936	37.38
3984	37.6267
4032	36.4433
4080	41.8533
4128	39.9433
4176	44.3233
4224	50.4733
4272	55.9133
4320	56.7433
4368	56.6967
4416	52.39
4464	48.19
4512	43.7933
4560	43.5767
4608	39.8533
4656	36.39
4704	36.58
4752	39.0867
4800	39.11
4848	44.9433
4896	49.8367
4944	53.6033
4992	56.7667
5040	54.69
5088	51.7133
5136	52.4967
5184	48.8233
5232	40.92
5280	37.8967
5328	36.3833
5376	37.7067
5424	41.59
5472	43.8667
5520	47.15
5568	52.75
5616	56.3967
5664	57.3433
5712	55.4833
5760	53.06
5808	47.29
5856	46.4033
5904	41.16
5952	37.73
6000	36.8833
6048	38.9333
6096	44.5367
6144	42.3533
6192	49.7967
6240	54.09
6288	57.13
6336	56.81
6384	51.6467
6432	48.8067
6480	42
6528	38.48
6576	37.1233
6624	37.56
6672	36.1167
6720	39.55
6768	49.3967
6816	51.5867
6864	49.4233
6912	57.0633
6960	55.3967
7008	58.0067
7056	51.1233
7104	44.99
7152	38.46
7200	38.4433
7248	36.28
7296	37.3567
7344	40.14
7392	46.5967
7440	49.0567
7488	55.21
7536	54.61
7584	57.56
7632	57.8433
7680	55.17
7728	44.88
7776	42.8267
7824	37.66
7872	34.89
7920	35.51
7968	37.66
8016	39.4233
8064	47.16
8112	55.0933
8160	57.4333
8208	57.41
8256	57.7933
8304	55.7267
8352	49.81
8400	47.2967
8448	38.9533
8496	34.6967
8544	33.3933
8592	34.7
8640	37.8833
8688	44.7733
8736	49.41
8784	54.3133
8832	56.7733
8880	59.1033
8928	58.0467
8976	55.6667
9024	49.2433
9072	40.8
9120	38.13
9168	35.1533
9216	34.7733
9264	37.6
9312	43.16
9360	45.71
9408	50.9533
9456	57.8467
9504	59.2
9552	57.74
9600	55.4133
9648	50.4633
9696	46.8467
9744	42.7133
9792	34.3033
9840	34.4333
9888	35.1867
9936	39.54
9984	42.1067
10032	48.97
10080	53.74
10128	56.47
10176	58.3933
10224	56.1167
10272	51.5267
10320	45.8167
10368	42.3967
10416	35.7733
10464	34.2733
10512	33.29
10560	37.9167
10608	45.2467
10656	47.0167
10704	51.7667
10752	58.8067
10800	60.0267
10848	59.0467
10896	54.2567
10944	53.4933
10992	43.9867
11040	39.37
11088	34.31
11136	34.3133
11184	38.0767
11232	38.49
11280	43.25
11328	50.4767
11376	58.26
11424	59.17
11472	58.8533
11520	58.2033
11568	51.5467
11616	48.22
11664	40.1233
11712	33.7967
11760	33.0733
11808	33.8533
11856	36.23
11904	41.0467
11952	51.1367
12000	55.7967
12048	58.6233
12096	59.5367
12144	57.1833
12192	53.6767
12240	49.7433
12288	42.3033
12336	36.56
12384	33.9733
12432	34.27
12480	35.2667
12528	42.4067
12576	47.8633
12624	53.1133
12672	57.7433
12720	61.2267
12768	58.8267
12816	58.65
12864	52.0733
12912	42.1067
12960	38.3867
13008	34.9633
13056	32.76
13104	34.06
13152	39.3233
13200	42.1467
13248	50.22
13296	57.4233
13344	57.94
13392	60.46
13440	59.9767
13488	53.19
13536	47.1867
13584	43.13
13632	37.95
13680	34.2933
13728	33.98
13776	35.7867
13824	38.3567
13872	48.5233
13920	53.4233
13968	58.1933
14016	57.8
14064	59.1
14112	56.1733
14160	53.7967
14208	47.12
14256	39.0567
14304	36.8933
14352	35.6767
14400	33.91
14448	37.06
14496	42.33
14544	48.54
14592	54.2567
14640	58.8533
14688	59.6667
14736	60.1467
14784	59.02
14832	50.29
14880	46.7167
14928	43.44
14976	36.34
15024	33.2733
15072	35.0367
15120	37.9033
15168	44.0867
15216	50.8467
15264	54.1
15312	56.83
15360	62.83
15408	60.2767
15456	55.88
15504	52.4167
15552	47.0333
15600	37.4633
15648	33.3667
15696	32.55
15744	33.1867
15792	38.8167
15840	41.8133
15888	47.72
15936	55.7167
15984	61.9167
16032	61.5333
16080	59.6133
16128	54.4533
16176	46.01
16224	41.8967
16272	38.94
16320	32.9733
16368	33.3
16416	33.86
16464	36.5
16512	43.7167
16560	53.09
16608	56.86
16656	62.65
16704	61.7833
16752	59.1067
16800	53.5567
16848	50.3167
16896	44.8467
16944	34.59
16992	32.7667
17040	32.39
17088	36.4
17136	42.87
17184	45.6033
17232	51.63
17280	57.9667
17328	62.1867
17376	60.9267
17424	57.76
17472	54.14
17520	47.04
17568	37.41
17616	34.3267
17664	32.66
17712	32.1767
17760	33.7267
17808	37.5867
17856	46.33
17904	55.8867
17952	58.1
18000	62.99
18048	63.0067
18096	57.79
18144	53.5333
18192	49.05
18240	40.0133
18288	32.2833
18336	30.7567
18384	31.78
18432	35.6867
18480	44.7967
18528	51.1533
18576	60.1333
18624	61.64
18672	62.9967
18720	59.8067
18768	56.4967
18816	46.4
18864	36.48
18912	35.16
18960	31.2967
19008	31.7833
19056	34.62
19104	39.98
19152	46.7367
19200	56.7233
19248	63.69
19296	62.49
19344	61.47
19392	59.03
19440	47.9033
19488	44.72
19536	36.7067
19584	32.7533
19632	29.5333
19680	30.8867
19728	35.4033
19776	44.59
19824	51.7233
19872	57.34
19920	59.3967
19968	63.2867
20016	61.25
20064	57.1967
20112	51.3167
20160	42.8333
20208	34.7533
20256	30.3233
20304	29.4867
20352	31.66
20400	39.4267
20448	45.79
20496	50.3633
20544	57.48
20592	62.6067
20640	63.3167
20688	60.4333
20736	56.5
20784	43.6733
20832	42.08
20880	34.3433
20928	30.53
20976	30.62
21024	34.21
21072	39.5833
21120	44.8433
21168	56.43
21216	60.7133
21264	62.3967
21312	63.6533
21360	56.5033
21408	50.7267
21456	47.3267
21504	39.7967
21552	30.9733
21600	29.25
21648	31.34
21696	35.2233
21744	45.74
21792	49.02
21840	54.9467
21888	61.9333
21936	63.9267
21984	61.8767
22032	57.5167
22080	48.4067
22128	37.63
22176	35.6767
22224	29.9267
22272	30.1033
22320	34.07
22368	42.04
22416	46.98
22464	51.3567
22512	60.9233
22560	64.8933
22608	65.6467
22656	60.62
22704	52.2233
22752	43.62
22800	38.22
22848	31.42
22896	27.9767
22944	27.0367
22992	30.8933
23040	42.19
23088	53.1133
23136	59.1867
23184	61.4833
23232	64.6633
23280	60.9233
23328	61.6467
23376	52.9
23424	42.2067
23472	30.8067
23520	29.61
23568	26.98
23616	31.2933
23664	38.4567
23712	46.23
23760	56.18
23808	62.0267
23856	65.8467
23904	64.39
23952	62.8667
24000	58.3933
24048	45.3067
24096	37.4167
24144	32.2633
24192	27.4333
24240	29.9233
24288	34.67
24336	37.35
24384	51.39
24432	59.2633
24480	63.5633
24528	65.6467
24576	63.2267
24624	55.86
24672	50.2467
24720	44.1933
24768	34.09
24816	27.55
24864	30.65
24912	31.8533
24960	40.97
25008	52.25
25056	57.84
25104	62.7667
25152	66.19
25200	62.6733
25248	60.6767
25296	52.8467
25344	39.78
25392	30.77
25440	28.4167
25488	28.91
25536	32.7
25584	43.7667
25632	49.6133
25680	57.1033
25728	62.7233
25776	67.1933
25824	65.72
25872	61.6867
25920	48.3
25968	36.76
26016	31.7
26064	29.49
26112	27.04
26160	28.4233
26208	30.7867
26256	35.2833
