Path difference [nm]	Intensity [a.u.]
-11424	51.23
-11376	50.8733
-11328	50.7733
-11280	50.8967
-11232	50.97
-11184	51.4467
-11136	51.8267
-11088	52.0733
-11040	51.76
-10992	51.6233
-10944	51.0467
-10896	51.1067
-10848	50.6667
-10800	51.1233
-10752	51.5633
-10704	51.8567
-10656	51.8233
-10608	51.89
-10560	51.77
-10512	50.9867
-10464	50.7867
-10416	50.65
-10368	50.5467
-10320	50.59
-10272	51.0233
-10224	51.8733
-10176	52.1167
-10128	52.0867
-10080	51.6933
-10032	51.2733
-9984	50.63
-9936	50.45
-9888	50.51
-9840	50.9967
-9792	51.8267
-9744	51.67
-9696	52.2533
-9648	52.37
-9600	51.5633
-9552	51.2867
-9504	50.6467
-9456	50.2167
-9408	50.3633
-9360	50.6633
-9312	51.2067
-9264	52.2067
-9216	52.41
-9168	52.4233
-9120	52.0267
-9072	51.07
-9024	50.3867
-8976	50.2433
-8928	50.53
-8880	51.4567
-8832	51.5667
-8784	52.26
-8736	52.3967
-8688	51.8
-8640	51.2033
-8592	50.54
-8544	50.04
-8496	50.3
-8448	50.4133
-8400	51.36
-8352	52.4367
-8304	52.77
-8256	52.49
-8208	52.1933
-8160	51.1867
-8112	50.0333
-8064	49.6367
-8016	50.17
-7968	51.19
-7920	51.7667
-7872	52.3567
-7824	53.06
-7776	52.59
-7728	50.9067
-7680	50.43
-7632	49.7033
-7584	49.7167
-7536	50.2733
-7488	50.77
-7440	51.7733
-7392	53.03
-7344	52.8867
-7296	52.1267
-7248	51.3667
-7200	50.5133
-7152	49.7133
-7104	49.9233
-7056	50.3933
-7008	52.0733
-6960	53.3133
-6912	53.45
-6864	53.39
-6816	52.6867
-6768	50.4633
-6720	49.23
-6672	48.9433
-6624	49.16
-6576	51.0867
-6528	51.58
-6480	52.9733
-6432	53.8233
-6384	53.07
-6336	51.4967
-6288	49.71
-6240	48.67
-6192	48.6567
-6144	49.4133
-6096	50.4767
-6048	52.76
-6000	54.22
-5952	54
-5904	52.5567
-5856	51.9733
-5808	49.6033
-5760	48.64
-5712	48.5867
-5664	50.3833
-5616	53.2733
-5568	54.2833
-5520	54.7167
-5472	54.3767
-5424	52.0633
-5376	49.0333
-5328	47.7333
-5280	47.7533
-5232	49.0267
-5184	51.38
-5136	53.6767
-5088	55.0733
-5040	54.6467
-4992	53.27
-4944	50.3733
-4896	48.78
-4848	46.68
-4800	47.11
-4752	49.6133
-4704	52.2
-4656	55.9167
-4608	56.23
-4560	56.0667
-4512	53.96
-4464	49.7867
-4416	46.3533
-4368	45.8467
-4320	48.39
-4272	51.23
-4224	54.4833
-4176	55.7
-4128	56.7633
-4080	53.2267
-4032	50.3733
-3984	48.9633
-3936	45.8167
-3888	45.5167
-3840	49.57
-3792	53.0633
-3744	56.7433
-3696	58.3033
-3648	57.7633
-3600	56.7133
-3552	52.08
-3504	45.13
-3456	43.86
-3408	45.7867
-3360	50.1467
-3312	56.1133
-3264	59.41
-3216	59.6433
-3168	57.7167
-3120	49.8467
-3072	46.58
-3024	43.6833
-2976	42.8267
-2928	49.7133
-2880	53.0633
-2832	57.8333
-2784	60.8833
-2736	59.83
