Path difference [nm]	Intensity [a.u.]
-19344	10.26
-19296	8.9233
-19248	14.51
-19200	12.28
-19152	13.86
-19104	10.22
-19056	10.4667
-19008	10.5033
-18960	11.0767
-18912	13.24
-18864	13.04
-18816	11.6467
-18768	11.6333
-18720	12.9833
-18672	12.0933
-18624	11.8667
-18576	14.2967
-18528	14.7833
-18480	14.34
-18432	11.35
-18384	14.6067
-18336	12.55
-18288	12.35
-18240	11.9067
-18192	13.04
-18144	12.8767
-18096	15.61
-18048	12.97
-18000	11.7967
-17952	12.35
-17904	11.0967
-17856	11.1867
-17808	11.2567
-17760	14.4567
-17712	17.0433
-17664	12.1367
-17616	12.8533
-17568	13.6133
-17520	10.59
-17472	12.04
-17424	13.23
-17376	13.24
-17328	13.0067
-17280	13.67
-17232	11.59
-17184	13.8967
-17136	13.3267
-17088	13.6233
-17040	10.3067
-16992	13.4933
-16944	11.26
-16896	13.8967
-16848	13.81
-16800	11.24
-16752	9.8367
-16704	14.7767
-16656	12.7967
-16608	13.2967
-16560	11.6267
-16512	12.4
-16464	13.61
-16416	11.5033
-16368	12.76
-16320	10.53
-16272	11.73
-16224	13.2833
-16176	12.81
-16128	13.82
-16080	13.8033
-16032	12.0633
-15984	13.04
-15936	13.8233
-15888	11.4
-15840	11.92
-15792	10.98
-15744	11.3933
-15696	12.08
-15648	10.9933
-15600	11.6867
-15552	12.1633
-15504	10.8367
-15456	12.7167
-15408	12.3667
-15360	12.0833
-15312	10.0467
-15264	14.3367
-15216	11.07
-15168	11.16
-15120	11.8067
-15072	13.05
-15024	13.8367
-14976	11.2867
-14928	11.5567
-14880	11.9433
-14832	14.33
-14784	9.65
-14736	13.46
-14688	14.46
-14640	11.9967
-14592	13.2333
-14544	12.1467
-14496	11.5667
-14448	13.54
-14400	11.0933
-14352	11.85
-14304	11.9567
-14256	12.3633
-14208	12.2467
-14160	11.7667
-14112	11.5
-14064	13
-14016	13.7933
-13968	13.33
-13920	14.6967
-13872	11.2067
-13824	12.79
-13776	11.03
-13728	14.4867
-13680	10.2567
-13632	10.6967
-13584	12.9633
-13536	12.7267
-13488	11.2833
-13440	11.54
-13392	11.43
-13344	13.1067
-13296	12.6333
-13248	12.5267
-13200	11.8767
-13152	14.77
-13104	13.9733
