Path difference [nm]	Intensity [a.u.]
-6384	59.72
-6336	59.9133
-6288	59.8467
-6240	59.7467
-6192	59.5767
-6144	59.6167
-6096	58.9633
-6048	59.1467
-6000	59.2733
-5952	59.67
-5904	59.7467
-5856	59.9667
-5808	60.27
-5760	59.9967
-5712	59.39
-5664	59.16
-5616	59.0167
-5568	59.1433
-5520	59.2967
-5472	59.3333
-5424	59.8467
-5376	59.89
-5328	60.04
-5280	59.6967
-5232	59.69
-5184	59.2667
-5136	59.2033
-5088	59.2667
-5040	59.6667
-4992	59.7533
-4944	59.8567
-4896	59.6733
-4848	59.6767
-4800	59.3133
-4752	59.1067
-4704	59.21
-4656	59.34
-4608	59.31
-4560	60
-4512	60.2367
-4464	59.9567
-4416	59.8167
-4368	59.5733
-4320	59.1533
-4272	59.2067
-4224	59.12
-4176	59.6233
-4128	59.7733
-4080	60.0533
-4032	60.07
-3984	59.67
-3936	59.5433
-3888	59.3433
-3840	58.8533
-3792	58.9267
-3744	59.2667
-3696	59.9133
-3648	60.2367
-3600	60.0567
-3552	59.8833
-3504	59.22
-3456	58.6467
-3408	58.1667
-3360	58.4233
-3312	58.8367
-3264	60.1467
-3216	60.94
-3168	61.1333
-3120	60.75
-3072	60.4133
-3024	58.97
-2976	58.11
-2928	57.76
-2880	58.5133
-2832	59.1767
-2784	60.0333
-2736	60.8833
-2688	60.9
-2640	60.1733
-2592	59.3267
-2544	58.8267
-2496	57.9633
-2448	58.3267
-2400	59.8833
-2352	60.5867
-2304	61.43
-2256	61.66
-2208	59.79
-2160	58.9267
-2112	56.8567
-2064	55.6667
-2016	55.63
-1968	56.1133
-1920	57.94
-1872	63.4833
-1824	64.9833
-1776	65.6633
-1728	64.51
-1680	61.4
-1632	57.9133
-1584	54.0233
-1536	51.4933
-1488	52.5067
-1440	52.9667
-1392	55.4167
-1344	60.89
-1296	67.7333
-1248	68.94
-1200	69.31
-1152	66.3433
-1104	61.56
-1056	57.7267
-1008	53.2033
-960	47.1967
-912	46.7167
