1198.83	290.31
1170.29	434.91
1143.07	435.45
1117.09	457.75
1092.27	402.17
1068.52	 89.67
1045.79	382.93
1024.00	359.24
1003.10	208.61
983.04	612.04
963.76	613.03
945.23	383.01
927.40	642.88
910.22	736.64
893.67	378.82
877.71	527.54
862.32	633.08
847.45	438.71
833.08	209.08
819.20	322.77
805.77	256.63
792.77	377.60
780.19	486.45
768.00	869.64
756.18	1062.60
744.73	964.73
733.61	938.82
722.82	1036.98
712.35	805.00
702.17	1886.29
692.28	3063.96
682.67	2731.30
673.32	7988.59
664.22	10931.50
655.36	30622.28
646.74	47801.79
638.34	31417.63
630.15	7438.39
622.18	2473.16
614.40	2153.99
606.81	745.93
599.41	1578.53
592.19	1502.32
585.14	927.29
578.26	713.86
571.53	683.22
564.97	659.31
558.55	582.45
552.27	725.13
546.13	929.10
540.13	778.38
534.26	684.83
528.52	559.41
522.89	383.07
517.39	406.54
512.00	307.49
506.72	342.29
501.55	592.19
496.48	694.62
491.52	520.84
486.65	327.34
481.88	361.19
477.20	166.40
472.62	229.80
468.11	215.74
463.70	151.64
459.36	222.90
455.11	388.53
450.94	465.61
446.84	326.00
442.81	134.49
438.86	234.37
434.97	199.41
431.16	191.32
427.41	261.47
423.72	214.84
420.10	177.85
416.54	183.19
413.04	190.07
409.60	156.17
406.21	106.72
402.89	134.64
399.61	127.24
396.39	139.73
393.22	321.56
390.10	489.08
387.02	366.22
384.00	 27.90
381.02	210.61
378.09	156.76
375.21	129.63
372.36	384.93
369.56	406.02
366.81	135.67
364.09	203.80
361.41	302.44
358.77	152.95
356.17	281.94
353.61	260.49
351.09	 72.96
348.60	283.90
346.14	317.48
343.72	257.16
341.33	138.72
338.98	130.49
336.66	303.89
334.37	372.13
332.11	114.76
329.88	 39.12
327.68	 92.71
325.51	141.70
323.37	 68.58
321.25	126.42
319.17	 85.72
317.11	112.55
315.08	191.19
313.07	278.22
311.09	404.48
309.13	431.21
307.20	287.85
305.29	 88.17
303.41	272.46
301.55	446.02
