Path difference [nm]	Intensity [a.u.]
-3696	25.7767
-3648	25.7633
-3600	25.78
-3552	25.7733
-3504	25.6833
-3456	25.7967
-3408	25.8033
-3360	25.8333
-3312	25.8133
-3264	25.8133
-3216	25.83
-3168	25.8933
-3120	25.8067
-3072	25.81
-3024	25.82
-2976	25.8
-2928	25.7567
-2880	25.7433
-2832	25.7467
-2784	25.77
-2736	25.7667
-2688	25.8
-2640	25.7867
-2592	25.84
-2544	25.8967
-2496	25.86
-2448	25.8167
-2400	25.8067
-2352	25.85
-2304	25.7233
-2256	25.6667
-2208	25.7533
-2160	25.76
-2112	25.8233
-2064	25.8
-2016	25.79
-1968	25.8067
-1920	25.8233
-1872	25.8333
-1824	25.8267
-1776	25.7967
-1728	25.8267
-1680	25.7833
-1632	25.7767
-1584	25.7533
-1536	25.7933
-1488	25.7967
-1440	25.8267
-1392	25.86
-1344	25.8667
-1296	25.8733
-1248	25.8567
-1200	25.86
-1152	25.87
-1104	25.8533
-1056	25.7967
-1008	25.7733
-960	25.78
-912	25.7433
-864	25.7967
-816	25.8467
-768	25.8567
-720	25.7533
-672	25.8267
-624	25.8267
-576	25.8767
-528	25.8533
-480	25.8767
-432	25.8333
-384	25.7633
-336	25.76
-288	25.7667
-240	25.81
-192	25.8567
-144	25.8467
-96	25.8333
-48	25.86
0	25.86
48	25.8
96	25.82
144	25.8033
192	25.8333
240	25.7767
288	25.76
336	25.84
384	25.8267
432	25.81
480	25.8267
528	25.8333
576	25.8333
624	25.85
672	25.88
720	25.7967
768	25.8567
816	25.8167
864	25.8
912	25.8367
960	25.8433
1008	25.7867
1056	25.8133
1104	25.8367
1152	25.8733
1200	25.8767
1248	25.8833
1296	25.9367
1344	25.92
1392	25.87
1440	25.8533
1488	25.8067
1536	25.86
1584	25.8233
1632	25.81
1680	25.81
1728	25.85
1776	25.8667
1824	25.84
1872	25.8667
1920	25.8367
1968	25.8933
2016	25.94
2064	25.89
2112	25.8433
2160	25.8767
2208	25.87
2256	25.8167
2304	25.83
2352	25.7433
2400	25.8033
2448	25.8333
2496	25.9267
2544	25.8733
2592	25.8667
2640	25.8767
2688	25.92
2736	25.9533
2784	25.8967
2832	25.9333
2880	25.8367
2928	25.8533
2976	25.8633
3024	25.82
3072	25.8533
3120	25.84
3168	25.8467
3216	25.8633
3264	25.9167
3312	25.96
3360	25.9233
3408	25.87
3456	25.8467
3504	25.8467
3552	25.84
3600	25.8067
3648	25.85
3696	25.86
3744	25.8833
3792	25.8667
3840	25.8567
3888	25.8467
3936	25.8633
3984	25.8633
