Path difference [nm]	Intensity [a.u.]
0	52.2333
48	52.29
96	53.7133
144	51.7067
192	48.7833
240	51.8867
288	53.2333
336	47.5667
384	49.23
432	49.46
480	48.3867
528	48.12
576	51.9233
624	54.1433
672	56.6033
720	58.55
768	58.86
816	57.4
864	54.6633
912	48.0367
960	43.96
1008	39.3833
1056	32.7167
1104	24.6967
1152	19.7567
1200	19.05
1248	22.89
1296	27.2933
1344	33.13
1392	36.5833
1440	45.6533
1488	53.98
1536	57.6933
1584	56.1733
1632	49.2633
1680	40.8467
1728	36.8733
1776	31.3833
1824	23.4267
1872	20.0533
1920	22.8633
1968	24.73
2016	30.43
2064	42.04
2112	48.52
2160	55.6833
2208	56.6633
2256	54.0367
2304	52.08
2352	47.6133
2400	36.5033
2448	26.0033
2496	20.7367
2544	20.8033
2592	25.2333
2640	31.31
2688	35.03
2736	40.4667
2784	49.9067
2832	56.2133
2880	55.6033
2928	55.3333
2976	50.8067
3024	40.64
3072	31.3833
3120	23.1567
3168	21.26
3216	23.4233
3264	27.3067
3312	28.8033
3360	33.91
3408	44.3533
3456	52.2633
3504	55.2333
3552	53.46
3600	50.4267
3648	45.8167
3696	42.8033
3744	32.8933
3792	23.4
3840	22.1167
3888	23.97
3936	24.45
3984	31.4867
4032	36.5233
4080	43.9267
4128	53.83
4176	54.7633
4224	52.2133
4272	52.1
4320	49.0667
4368	36.8333
4416	29.8733
4464	23.3367
4512	22.96
4560	25.0333
4608	26.9267
4656	30.7933
4704	40.12
4752	50.73
4800	53.4
4848	53.7467
4896	53.11
4944	46.6767
4992	41.61
5040	32.5133
5088	26.1733
5136	23.7033
5184	23.49
5232	24.61
5280	29.11
5328	39.52
5376	46.4767
5424	50.05
5472	52.73
5520	51.9933
5568	50.1767
5616	47.1733
5664	39.7333
5712	29.4633
5760	26.4767
5808	24.91
5856	24.5033
5904	28.7667
5952	33.05
6000	40.46
6048	47.6733
6096	51.32
6144	52.1467
6192	51.4167
6240	49.61
6288	42.2733
6336	35.47
6384	30.0733
6432	25.7933
6480	25.6033
6528	26.0967
6576	27.5133
6624	34.2133
6672	45.1367
6720	49.5533
6768	50.8867
6816	51.38
6864	48.87
6912	46.2333
6960	42.2933
7008	30.81
7056	28.13
7104	26.2433
7152	26.05
7200	27.37
7248	31.98
7296	36.8767
7344	44.3667
7392	48.7833
7440	49.8433
7488	50.62
7536	49.7933
7584	46.0033
7632	36.1233
7680	31.36
7728	27.8667
7776	27.3667
7824	26.9633
7872	28.81
7920	33.3533
7968	42.5333
8016	46.63
8064	49.14
8112	49.5833
8160	49.6733
8208	46.4267
8256	40.95
8304	34.81
8352	29.7633
8400	27.84
8448	27.4933
8496	28.05
8544	31.8833
8592	40.92
8640	44.96
8688	44.74
8736	48.1067
8784	49.37
8832	48.0267
8880	42.1033
8928	36.2433
8976	31.42
9024	31.7233
9072	29.4967
9120	28.1
9168	29.61
9216	35.4467
9264	39.0867
9312	44.5433
9360	47.62
9408	48.1967
9456	48.6333
9504	47.1833
9552	40.1667
9600	37.1167
9648	36.23
9696	34.0167
9744	29.2467
