Path difference [nm]	Intensity [a.u.]
20064	13.1933
20112	12.76
20160	11.43
20208	10.73
20256	7.6133
20304	10.39
20352	9.1133
20400	9.74
20448	12.17
20496	11.0967
20544	13.28
20592	15.7333
20640	11.6533
20688	12.53
20736	13.9567
20784	11.72
20832	8.4767
20880	8.58
20928	12.8067
20976	11.7733
21024	12.4033
21072	7.9067
21120	10.8767
21168	10.71
21216	14.47
21264	15.0633
21312	13.65
21360	13.7933
21408	12.3
21456	13.8133
21504	11.3333
21552	11.2467
21600	6.3133
21648	9.75
21696	9.8367
21744	9.5267
21792	9.9333
21840	15.4833
21888	13.6133
21936	18.2933
21984	19.01
22032	15.1833
22080	9.97
22128	13.0633
22176	11.4767
22224	9.4667
22272	9.85
22320	8.27
22368	11.1133
22416	13.4933
22464	16.2833
22512	16.3
22560	15.2
22608	19.8167
22656	17.42
22704	16.2633
22752	14.21
22800	12.3033
22848	12.1833
22896	11.6067
22944	6.9533
22992	10.8633
23040	13.7867
23088	13.7533
23136	14.1967
23184	19.74
23232	22.0833
23280	18.69
23328	12.53
23376	3.98
23424	0.4333
23472	4.2433
23520	9.4333
23568	4.3067
23616	1.44
23664	-0.1933
23712	-0.0733
23760	5.1167
23808	18.5167
23856	17.1667
23904	19.3967
23952	15.8867
24000	17.0533
24048	16.33
24096	13.7467
24144	14.7933
24192	6.5733
24240	7.15
24288	11.55
24336	13.1433
24384	13.33
24432	13.2933
24480	16.61
24528	16.23
24576	23.3367
24624	20.8233
24672	18.9167
24720	19.9133
24768	13.6933
24816	13.63
24864	9.5033
24912	8.7267
24960	12.6267
25008	14.6
25056	15.8167
25104	17.5433
25152	18.65
25200	22.2833
25248	22.8033
25296	20.6933
25344	21.36
25392	18.0167
25440	17.17
25488	20.5933
25536	12.28
25584	10.5633
25632	9.8067
25680	9.5633
25728	11.1
25776	10.6767
25824	10.99
25872	12.4367
25920	11.93
25968	18.7933
26016	19.16
26064	21.99
26112	20.6233
26160	23.6567
26208	24.1833
26256	23.46
26304	23.1833
26352	16.9233
26400	10.9933
26448	5.2767
26496	2.8833
26544	3.6667
26592	1.7733
26640	5.2233
26688	12.09
26736	25.3733
26784	27.6167
26832	32.6133
26880	31.0533
26928	28.4033
26976	29.4567
27024	20.06
27072	5.8267
27120	0.8767
27168	2.8733
27216	1.52
27264	8.0933
27312	9.4933
27360	10.55
27408	18.5567
27456	24.39
27504	24.59
27552	22.1767
27600	21.7933
27648	18.89
27696	18.8567
27744	15.5033
27792	9.8667
27840	11.0433
27888	13.1867
27936	11.2833
27984	12.22
28032	14.8067
28080	14.5767
28128	20.2667
28176	19.95
28224	17.6467
28272	18.1733
28320	16.7633
28368	15.3367
28416	16.7467
28464	12.9233
28512	14.3833
28560	13.9333
28608	15.5533
28656	11.6133
28704	14.5033
28752	13.9333
28800	15.3633
28848	16.82
28896	19.5667
28944	17.0533
28992	18.8167
29040	17.01
29088	18.22
29136	16.41
29184	18.1667
29232	16.8067
29280	15.8433
29328	13.47
29376	14.3167
29424	13.7633
29472	15.0867
29520	14.9767
29568	16.4367
29616	15.8733
29664	22.0833
29712	20.8333
29760	19.33
29808	16.9167
29856	18.0167
29904	16.76
29952	19.6333
30000	15.2267
30048	12.4367
30096	11.9267
30144	13.71
30192	15.9933
30240	16.05
30288	15.1733
30336	17.5033
30384	16.1567
30432	20.43
30480	19.45
30528	15.2733
30576	17.4
30624	15.9167
30672	18.4267
30720	15.4
30768	14.5367
30816	12.1967
30864	12.1433
30912	13.4067
30960	12.3033
31008	15.8333
31056	14.46
31104	17.4533
31152	14.5333
31200	15.58
31248	21.7367
31296	20.1733
31344	18.8167
31392	17.2933
31440	16.7067
31488	13.1733
31536	13.7067
31584	9.1467
31632	12.7133
31680	14.3267
31728	12.3467
31776	14.1133
31824	18.6467
31872	15.71
31920	20.8233
31968	22.3567
32016	20.4167
32064	17.5733
32112	16.1733
32160	17.99
32208	14.35
32256	15.17
32304	10.3
32352	9.5467
32400	14.5133
32448	18.47
32496	14.21
32544	14.5467
32592	17
32640	12.6467
32688	13.77
32736	20.7933
32784	21.9733
32832	19.7833
32880	18.9667
32928	18.64
32976	21.1367
33024	17.2633
33072	15.3367
33120	14.41
33168	14.43
33216	10.8
33264	11.04
33312	11.3467
33360	14.31
33408	15.7167
33456	16.5733
33504	15.5467
33552	12.5933
33600	14.45
33648	20.4833
33696	18.2467
33744	12.99
33792	5.4267
33840	4.1933
33888	1.9267
33936	3.7067
33984	2.6467
34032	2.75
34080	7.68
34128	4.0933
34176	4.4567
34224	7.77
34272	11.2267
34320	9.3467
34368	12.01
34416	4.39
34464	10.64
34512	6.8167
34560	6.47
34608	2.37
34656	5.0967
34704	5.1
34752	5.28
34800	6.89
34848	11.0567
34896	9.8167
34944	12.4233
34992	13.63
35040	17.01
35088	16.56
35136	19.35
35184	20.4433
35232	16.2333
35280	12.8967
35328	11.3433
35376	14.2333
35424	12.7967
35472	10.1
35520	11.5533
35568	9.3533
35616	9.9733
35664	11.83
35712	13.27
35760	14.9067
35808	15.7
35856	19.5033
35904	21.5167
35952	11.7333
36000	14.7267
36048	16.8767
36096	13.23
36144	8.1267
36192	10.0567
36240	14.7467
36288	14.98
36336	14.5667
36384	12.4933
36432	15.4733
36480	12.77
36528	21.1767
36576	16.4367
36624	17.7867
36672	18.4367
36720	15.53
36768	12.01
36816	10.23
36864	11.6833
36912	12.5433
36960	13.4533
37008	12.9067
37056	15.6067
37104	16.5467
37152	18.1367
37200	16.1033
37248	15.76
37296	15.9767
37344	16.0333
37392	15.7633
37440	14.6
37488	15.0733
37536	9.8767
37584	12.1633
37632	9.2067
37680	9.1567
37728	12.4467
37776	10.2233
37824	11.7933
37872	11.69
37920	11.5167
37968	13.1833
38016	15.4033
38064	17.7933
38112	18.0933
38160	15.07
38208	15.6333
38256	16.56
38304	13.6467
38352	14.8367
38400	12.22
38448	14.2767
38496	8.9767
38544	10.1833
38592	11.3967
38640	13.6233
38688	11.8267
38736	13.58
38784	14.8667
38832	17.1733
38880	16.13
38928	18.8867
38976	20.5367
39024	20.6333
39072	17.1433
39120	15.75
39168	14.7267
39216	14.3
39264	14.24
39312	12.8067
39360	9.92
39408	7.0567
39456	11.27
39504	9.9833
39552	13.05
39600	15.5333
39648	16.8667
39696	17.0167
39744	20.1067
39792	21.6533
39840	17.3267
39888	16.61
39936	18.47
39984	15.2467
40032	11.5967
40080	9.94
40128	12.1667
40176	11.9233
40224	12.32
40272	16.23
40320	15.06
40368	14.54
40416	14.2933
40464	19.6633
40512	20.5833
40560	14.3667
40608	14.5633
40656	16.1433
40704	15.0767
40752	14.7933
40800	11.3367
40848	11.13
40896	6.45
40944	10.3767
40992	11.64
41040	14.8533
41088	14.34
41136	15.95
41184	15.2233
41232	15.41
41280	17.5667
41328	20.7567
41376	22.4767
41424	17.1
41472	16.5067
41520	16.2067
41568	15.0133
41616	15.1967
41664	14.28
41712	10.26
41760	13.0367
41808	12.62
41856	16.6633
41904	15.4067
41952	17.2133
42000	15.4533
42048	19.0433
42096	18.5767
42144	17.0433
42192	15.98
42240	16.3333
42288	15.0367
42336	13.1733
42384	10.14
42432	12.3867
42480	13.6867
42528	11.4867
42576	14.3133
42624	15.33
42672	14.7867
42720	15.1967
42768	18.96
42816	23.8467
42864	22.8433
42912	19.04
42960	16.9767
43008	16.9967
43056	16.8633
43104	17.0867
43152	15.3767
43200	13.4967
43248	13.0633
43296	10.95
43344	13.8567
43392	16.0467
43440	17.2067
43488	15.4533
43536	16.6433
43584	15.87
43632	16.01
43680	19.0333
43728	20.9933
43776	17.4667
43824	19.5267
43872	17.9733
43920	17.3333
43968	13.6267
44016	14.6067
44064	8.8533
44112	8.85
44160	13.1
44208	13.0633
44256	14.6233
44304	16.36
44352	15.2033
44400	22.1167
44448	18.32
44496	18.23
44544	17.5533
44592	14.55
44640	14.95
44688	14.3833
44736	14.8533
44784	10.0267
44832	14.76
44880	16.37
