Path difference [nm]	Intensity [a.u.]
20880	27.92
20928	39.5733
20976	44.11
21024	57.8
21072	69.9233
21120	71.2733
21168	71.8233
21216	68.5067
21264	56.32
21312	44.5467
21360	36.06
21408	22.7367
21456	20.7367
21504	21.3367
21552	24.0033
21600	33.13
21648	49.5767
21696	60.0033
21744	68.1033
21792	71.5267
21840	67.2567
21888	66.4133
21936	58.6667
21984	46.19
22032	30.52
22080	22.72
22128	20.3167
22176	22.7667
22224	35.0533
22272	42.7867
22320	47.7233
22368	63.3633
22416	71.0667
22464	72.3833
22512	70.1133
22560	58.4667
22608	44.85
22656	37.4767
22704	31.5333
22752	21.3933
22800	21.7633
22848	28.2767
22896	33.08
22944	46.69
22992	62.7967
23040	68.4667
23088	71.3667
23136	72.03
23184	62.7167
23232	57.1467
23280	47.38
23328	34.7367
23376	22.2667
23424	19.87
23472	21.06
23520	29.03
23568	47.5933
23616	55.12
23664	61.8867
23712	69.9133
23760	72.3567
23808	65.2667
23856	61.63
23904	49.24
23952	28.4667
24000	25.1733
24048	22.0433
24096	19.5467
24144	27.9733
24192	33.59
24240	48.14
24288	56.9233
24336	70.0967
24384	72.5633
24432	72.64
24480	66.3767
24528	42.6033
24576	45.2533
24624	38.1467
24672	23.9067
24720	19.0567
24768	23.8633
24816	26.79
24864	37.7633
24912	55.98
24960	63.7633
25008	67.7033
25056	73.6933
25104	69.7233
25152	62.7367
25200	56.5933
25248	41.8933
25296	27.4167
25344	22.1133
25392	18.4267
25440	21.1233
25488	35.1867
25536	43.25
25584	50.13
25632	64.6967
25680	73.43
25728	72.7967
25776	71.2333
25824	56.9833
25872	44.3933
25920	37.2567
25968	29.3633
26016	19.3067
26064	20.0067
26112	24.0133
26160	31.24
26208	44.0667
26256	60.67
26304	70.17
26352	73.3933
26400	72.9833
26448	63.2067
26496	55.0733
26544	49.04
26592	28.7633
26640	19.4167
26688	18.02
26736	19.7867
26784	28.8033
26832	47.1767
26880	55.78
26928	60.0567
26976	72.2533
27024	74.1033
27072	71.31
27120	62.9033
27168	53.2467
27216	35.3167
27264	30.0767
27312	20.5167
27360	18.3667
27408	27.99
27456	34.23
27504	41.83
27552	56.1933
27600	69.98
27648	75.01
27696	74.57
27744	68.0333
27792	52.5933
27840	46.7067
27888	38.8233
27936	28.61
27984	18.2167
28032	18.2867
28080	20.8067
28128	29.9533
28176	50.8267
28224	56.77
28272	63.4667
28320	74.1267
28368	73.1233
28416	67.7667
28464	64.3567
28512	53.2733
28560	32.6867
28608	20.1833
28656	17.9767
28704	18.2367
28752	30.2467
28800	34.7
28848	40.27
28896	53.44
28944	69.5133
28992	74.7267
29040	75.06
29088	71.4367
29136	53.75
29184	48.1567
29232	38.3633
29280	20.8333
29328	17.6533
29376	20.7767
29424	22.59
29472	34.04
29520	52.56
29568	69.07
29616	72.56
29664	75.0667
29712	68.1133
29760	63.2933
29808	56.2633
29856	44.6233
29904	25.3333
29952	18.33
30000	17.8033
30048	18.4167
30096	31.6133
30144	38.14
30192	53.25
30240	72.71
30288	73.0967
30336	75.0867
30384	73.3333
30432	65.9133
30480	44.9433
30528	27.8067
30576	25.0933
30624	16.6367
30672	19.5767
30720	20.86
30768	26.5
30816	43.02
30864	64.1667
30912	71.15
30960	73.66
31008	75.3533
31056	71.13
31104	64.6767
31152	49.0467
31200	28.5933
31248	24.7367
31296	20.14
31344	17.2433
31392	20.1233
31440	36.85
31488	55.74
31536	60.3633
31584	71.4433
31632	75.67
31680	75.2433
31728	73.5633
31776	64.2433
31824	40.55
31872	30.7867
31920	24.48
31968	19.6467
32016	18.74
32064	21.2967
32112	33.5267
32160	55.1733
32208	65.8067
32256	69.73
32304	74.0267
32352	75.3067
32400	63.8033
32448	45.6733
32496	40.2567
32544	28.9867
32592	17.1667
32640	17.2667
32688	16.93
32736	23.4267
32784	42.39
32832	52.8067
32880	62.2167
32928	63.84
32976	75.2967
33024	75.27
33072	68.2867
33120	53.37
33168	38.2967
33216	34.1967
33264	27.62
33312	20.4233
33360	19.1367
33408	32.4067
33456	35.5
33504	43.5867
33552	67.2733
33600	71.48
33648	72.93
33696	74.27
33744	63.2167
33792	57.3467
33840	52.3133
33888	38.1367
33936	24.1633
33984	18.16
34032	17.6733
34080	27.0167
34128	42.4933
34176	46.5233
34224	53.7867
34272	66.2
34320	75.5433
34368	69.8367
34416	68.89
34464	55.2767
34512	36.4967
34560	32.8767
34608	28.3867
34656	19.8767
34704	18.2833
34752	25.2
34800	32.95
34848	36.18
34896	59.9033
34944	66.5467
34992	69.9667
35040	75.2067
35088	66.88
35136	62.1133
35184	54.2133
35232	37.8667
35280	26.06
35328	17.04
35376	17.0633
35424	25.5367
35472	40.1533
35520	46.2733
35568	53.8533
35616	66.8867
35664	75.4133
35712	73.0633
35760	72.0967
35808	60.66
35856	40.56
35904	35.7633
35952	24.95
36000	16.7067
36048	19.7533
36096	24.7467
36144	30.97
36192	46.8333
36240	65.69
36288	75.2533
36336	75.66
36384	71.4933
36432	55.51
36480	54.5067
36528	50.5033
36576	33.78
36624	19.0233
36672	17.21
36720	17.3967
36768	22.1
36816	37.42
36864	50.2
36912	64.2767
36960	69.7633
37008	74.76
37056	72.2267
37104	69.6533
37152	55.5733
37200	36.6433
37248	23.17
37296	19.9833
37344	17.47
37392	23.1033
37440	27.4933
37488	42.12
37536	58.75
37584	72.36
37632	73.09
37680	74.98
37728	72.6133
37776	60.6367
37824	47.5167
37872	41.7567
37920	27.43
37968	17.43
38016	17.47
38064	21.6467
38112	33.74
38160	53.19
38208	54.4133
38256	65.16
38304	73.4667
38352	73.51
38400	66.06
38448	61.7167
38496	48.69
38544	29.0367
38592	25.02
38640	18.9667
38688	22.5233
38736	28.0933
38784	38.3933
38832	44.9633
38880	60.12
38928	71.1333
38976	74.6267
39024	72.7733
39072	61.84
39120	46.44
39168	42.4767
39216	32.8867
39264	21.5533
39312	18.27
39360	23.04
39408	26.3533
39456	41.9033
39504	56.5633
39552	66.21
39600	73.5833
39648	73.9233
39696	66.2833
39744	58.3833
39792	51.61
39840	37.6833
39888	24.3667
39936	18.9167
39984	17.9433
40032	23.5533
40080	39.54
40128	42.3233
40176	51.7133
40224	68.47
40272	74.6267
40320	73.1967
40368	69.6167
40416	59.78
40464	42.4667
40512	31.8
40560	25.5533
40608	19.5233
40656	22.4067
40704	25.3233
40752	32.6133
40800	49.4567
40848	67.22
40896	71.7367
40944	73.67
40992	72.9167
41040	64.09
41088	47.15
41136	44.2267
41184	31.7767
41232	18.3533
41280	18.2967
41328	18.8
41376	25.0733
41424	41.0933
41472	58.5933
41520	61.3067
41568	69.3733
41616	73.8033
41664	71.3633
41712	64.1667
41760	43.4967
41808	29.5833
41856	24.5467
41904	23.63
41952	18.9533
42000	30.56
42048	32.5267
42096	43.9167
42144	56.7967
42192	68.3333
42240	73.1933
42288	72.99
42336	66.8967
42384	48.8
42432	46.8733
42480	37.8267
42528	19.1
42576	19.06
42624	21.3667
42672	24.76
42720	37.55
42768	50.9467
42816	58.8067
42864	68.6933
42912	73.59
42960	67.62
43008	65.7367
43056	57.97
43104	49.5333
43152	29.9267
43200	21.38
43248	19.47
43296	21.7633
43344	30.82
43392	37.42
43440	49.2533
43488	67.43
43536	73.06
43584	72.9967
43632	70.37
43680	65.5933
43728	52.8367
43776	41.6833
43824	29.4833
43872	20.6067
43920	21.5467
43968	22
44016	26.3
44064	45.9033
44112	63.4867
44160	68.27
44208	71.48
44256	72.7067
44304	68.99
44352	61.15
44400	47.94
44448	42.11
44496	22.1433
44544	21.1267
44592	20.1267
44640	22.8833
44688	39.82
44736	46.0867
44784	54.26
44832	63.0733
44880	72.43
44928	69.61
44976	69.04
45024	58.1367
45072	35.4833
45120	31.44
45168	30.8267
45216	21.23
45264	21.4067
45312	31.0433
45360	35.9567
45408	44.59
45456	61.46
45504	66.34
45552	72.11
45600	69.9333
45648	58.7167
45696	51.6433
45744	49.7367
45792	31.2467
45840	22.28
45888	20.5433
45936	21.5133
45984	30.8733
46032	47.1633
46080	55.3033
46128	56.8167
46176	68.5867
46224	71.7167
46272	69.57
46320	59.7167
46368	55.77
46416	32.3233
46464	30.6
46512	24.7133
46560	20.8467
46608	27.95
46656	35.0833
46704	40.7833
46752	53.63
46800	65.51
46848	71.4667
46896	71.56
46944	68.0467
46992	53.32
47040	47.09
47088	40.29
47136	29.7667
47184	22.0533
47232	21.65
47280	24.4067
47328	32.8167
47376	51.8933
47424	56.5567
47472	60.9033
47520	69.61
47568	69.3033
47616	65.2267
47664	61.41
47712	52.26
47760	35.09
47808	24.79
47856	23.2633
47904	22.2267
47952	33.5467
48000	38.7267
48048	45.0267
48096	53.97
48144	67.35
48192	70.26
48240	70.0733
